;ChannelName;ChannelID;VideoID;Titulo;Artist;PublishDate;PublishTime;ViewsCount;LikeCount;FavoriteCount;CommentCount
3180;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;mMM_mYDjFMo;Warner Pride Brasil - Pocah (Live);Warner Pride Brasil;2020-07-10;23:00:17Z;85431.0;435.0;0.0;25.0
3181;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;A9UFoGzFClo;Kevin o Chris, Piso 21 - Câmera Lenta (Clipe Oficial);Kevin o Chris, Piso 21;2020-07-10;15:00:02Z;2588394.0;17830.0;0.0;292.0
3182;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;mC3I32QOd28;Anitta feat. Arcangel & De La Ghetto - Tócame (LETRA OFICIAL);Anitta feat. Arcangel & De La Ghetto;2020-07-10;03:03:12Z;137086.0;12719.0;0.0;2009.0
3183;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;7ZmumXiPoMo;TINIE ft. Sofia Reyes - Whoppa (Letra Traduzida);TINIE ft. Sofia Reyes;2020-07-09;14:00:02Z;10353.0;258.0;0.0;12.0
3184;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;8slGAXpeOeU;Saweetie - Tap In (Letra Traduzida);Saweetie;2020-07-08;14:00:05Z;14743.0;397.0;0.0;10.0
3185;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;iJNHhh9B6tg;Warner Music Entrou na Sala - Hyldon;Warner Music Entrou na Sala;2020-07-07;22:00:09Z;513.0;38.0;0.0;1.0
3186;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;sm6e_c4FwM4;Yoga para Confiar e Equilibrar ou/ Confiança e Equilíbrio - Yoga Mudra por Raissa Zoccal;Yoga para Confiar e Equilibrar ou/ Confiança e Equilíbrio;2020-07-06;14:00:15Z;9698.0;450.0;0.0;12.0
3187;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;TuKyIfi3bgU;Yoga Flexibilidade e Adaptabilidade - Yoga Mudra por Raissa Zoccal;Yoga Flexibilidade e Adaptabilidade;2020-07-05;23:00:04Z;4567.0;247.0;0.0;20.0
3188;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;QwBnXNVmfY8;Live Warner Pride 2020;Live Warner Pride 2020;2020-07-04;23:55:07Z;62110.0;1972.0;0.0;64.0
3189;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;fagWF0s9lcI;Yoga para Relaxar - Yoga Mudra por Raissa Zoccal;Yoga para Relaxar;2020-07-04;14:00:08Z;10126.0;443.0;0.0;15.0
3190;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;a3MF6yKyPRw;Detox e Purificação - Yoga Mudra por Raissa Zoccal;Detox e Purificação;2020-07-03;23:00:00Z;12931.0;606.0;0.0;9.0
3191;Warner Music Brasil;UCYxLlKfySq3RVLKdNSQ1Gug;aWoQ-1YDVjg;Ludmilla - Cobra Venenosa (LETRA OFICIAL);Ludmilla;2020-07-03;03:02:08Z;188896.0;10926.0;0.0;2788.0
